手机编号,商品标题,价格,品牌,机身厚度,机身重量,屏幕尺寸,ROM内存,前置摄像头像素,后置摄像头像素,指纹识别,GPS定位,促销信息,总评论数,好评数,中评数,差评数
2203531,自营 荣耀 畅玩5X 3GB内存版 落日金 移动联通电信4G手机 双卡双待,1099,华为（HUAWEI）,8.15,158,5.5,16,500,1300,1,1,0,319261,312582,3929,2750
2249594,自营 华为 畅享5S 金色 移动联通电信4G手机 双卡双待,1099,华为（HUAWEI）,7.6,135,5,16,500,1300,1,1,1,190443,181936,5016,3491
2471202,自营 华为 Mate S 臻享版 32GB 极昼金 移动联通4G手机 双卡双待,1899,华为（HUAWEI）,7.2,156,5.5,32,800,1300,1,2,0,21821,21020,451,350
2600210,自营 华为 P9 全网通 3GB+32GB版 流光金 移动联通电信4G手机 双卡双待,3188,华为（HUAWEI）,6.95,144,5.2,32,800,1200,1,1,1,24882,24305,330,247
2600219,自营 荣耀7i 3GB内存DM定制版 日曜金 移动联通电信4G手机 双卡双待,1299,华为（HUAWEI）,7.8,160,5.2,32,1300,1300,1,1,0,72524,68790,2192,1542
2600240,自营 华为 P9 plus 64GB 琥珀金 移动联通电信4G手机 双卡双待,3988,华为（HUAWEI）,6.98,162,5.5,64,800,1200,1,1,1,39288,38527,411,350
2600254,自营 华为 P9 全网通 3GB+32GB版 钛银灰 移动联通电信4G手机 双卡双待,3188,华为（HUAWEI）,6.95,144,5.2,32,800,1200,1,1,1,12539,12236,170,133
2878295,自营 荣耀 畅玩5C 2GB+16GB 太空银 移动4G手机 双卡双待,799,华为（HUAWEI）,8.3,156,5.2,16,800,1300,1,1,0,139741,136872,1632,1237
2888228,自营 荣耀 V8 全网通 高配版 4GB+64GB 香槟金 移动联通电信4G手机 双卡双待双通,2599,华为（HUAWEI）,7.75,170,5.7,64,800,1200,1,1,0,181840,176630,2668,2542
2896128,自营 荣耀 V8 全网通 标准版 4GB+32GB 冰河银 移动联通电信4G手机 双卡双待双通,2299,华为（HUAWEI）,7.75,170,5.7,32,800,1200,1,1,0,378,370,4,4
2962511,自营 华为 G9 Plus 32GB 铂雅金 移动联通4G手机 双卡双待,2399,华为（HUAWEI）,7.3,160,5.5,32,800,1600,1,1,1,1057,1032,11,14
2967927,自营 荣耀8 4GB+32GB 全网通4G手机 魅海蓝,2299,华为（HUAWEI）,7.45,153,5.2,32,800,1200,1,2,1,179422,175742,1962,1718
3133498,自营 荣耀 畅玩5A 白色 移动4G手机 双卡双待,699,华为（HUAWEI）,8.45,168,5.5,16,800,1300,0,1,0,100599,98347,1447,805
3169118,自营 华为 P9 全网通 4GB+64GB版 金色 移动联通电信4G手机 双卡双待,3688,华为（HUAWEI）,6.95,144,5.2,64,800,1200,1,1,1,29243,28622,350,271
3234250,自营 华为 麦芒5 全网通 4GB+64GB版 香槟金 移动联通电信4G手机 双卡双待,2599,华为（HUAWEI）,7.3,160,5.5,64,800,1600,1,1,1,20825,20317,276,232
3355143,自营 华为 HUAWEI nova 4GB+64GB版 香槟金（白）移动联通电信4G手机 双卡双待,2399,华为（HUAWEI）,7.1,146,5,64,800,1200,1,1,1,6772,6596,93,83
3367822,自营 荣耀 NOTE 8 4GB+64GB 全网通4G手机 铂光金,2499,华为（HUAWEI）,7.18,219,6.6,64,800,1300,1,1,0,35319,34480,478,361
3369078,自营 荣耀 畅玩5 2GB+16GB 白色 移动4G手机 双卡双待,599,华为（HUAWEI）,8.9,138,5,16,200,800,0,1,0,34246,33829,238,179
3385376,自营 华为 G9 青春版 玫瑰金 移动联通电信4G手机 双卡双待,1599,华为（HUAWEI）,7.5,143,5.2,16,800,1300,1,1,0,28274,26981,792,501
3458001,自营 华为 Mate 9 4GB+64GB版 香槟金 移动联通电信4G手机 双卡双待,3899,华为（HUAWEI）,7.9,190,5.9,64,800,2000,1,1,0,11617,11386,113,118
3458013,自营 华为 Mate 9 4GB+32GB版 月光银 移动联通电信4G手机 双卡双待（会员Plus）,3399,华为（HUAWEI）,7.9,190,5.9,32,800,2000,1,1,0,16,16,0,0
3888216,自营 华为 畅享6 金色 移动联通电信4G手机 双卡双待,1299,华为（HUAWEI）,7.9,145,5,16,500,1300,1,1,0,3419,3285,78,56
10532651102,荣耀 畅玩5 高配版 手机 金色 移动4G (2G RAM+16G ROM) 标配版,597,华为（HUAWEI）, , ,5,16,200,800,0,1,0,5326,4969,182,175
1710077,自营 金立 F103 韵银白 移动4G手机 双卡双待,799,金立（Gionee）,7.95,137,5,16,500,800,0,1,1,2223,2028,123,72
2259491,自营 金立 金钢GN5001S 爵士金 移动联通电信4G手机 双卡双待,999,金立（Gionee）,8.5,182,5,16,500,800,0,1,1,6164,5763,247,154
2310587,自营 金立 V580 雅致黑 移动联通2G手机 双卡双待,399,金立（Gionee）,11.3,110.8,2.8,,0,,0,0,1,2087,1966,59,62
2493221,自营 金立 S8 玫瑰金 移动联通电信4G手机 双卡双待,2299,金立（Gionee）,7,152,5.5,64,800,1600,1,1,1,760,707,35,18
2493227,自营 金立 S8 闪耀金 移动联通电信4G手机 双卡双待,2299,金立（Gionee）,7,152,5.5,64,800,1600,1,1,1,760,707,35,18
2493326,自营 金立 天鉴 W909 金色 移动联通电信4G手机 双卡双待,3999,金立（Gionee）,16.5,207.7,4.2,64,500,1600,1,1,1,1565,1484,39,42
2889576,自营 金立 F100 韵银白 移动4G手机 双卡双待,599,金立（Gionee）,8.1,151,5,16,200,500,0,1,1,2811,2614,118,79
2889614,自营 金立 F100 雪金白 移动4G手机 双卡双待,599,金立（Gionee）,8.1,151,5,16,200,500,0,1,1,2811,2614,118,79
2910505,自营 金立S6 Pro 耀金 移动联通电信4G手机 双卡双待,1999,金立（Gionee）,7.6,170,5.5,64,800,1300,1,1,1,1592,1497,54,41
2969541,自营 金立M6 Plus 香槟金 4GB+64GB版 移动联通电信4G手机 双卡双待,2999,金立（Gionee）,8.2,215,6,64,800,1600,1,1,1,3162,3003,88,71
2969549,自营 金立M6 香槟金 4GB+64GB版 移动联通电信4G手机 双卡双待,2699,金立（Gionee）,8.2,180,5.5,64,800,1300,1,1,1,3162,3003,88,71
3151888,自营 金立S6 Pro 玫瑰金 移动联通电信4G手机 双卡双待,1999,金立（Gionee）,7.6,170,5.5,64,800,1300,1,1,1,1591,1496,54,41
3248398,自营 金立M6 摩卡金 4GB+128GB版 移动联通电信4G手机 双卡双待,2999,金立（Gionee）,8.2,180,5.5,128,800,1300,1,1,1,3162,3003,88,71
3248400,自营 金立M6 Plus 香槟金 4GB+128GB版 移动联通电信4G手机 双卡双待,3299,金立（Gionee）,8.2,215,6,128,800,1600,1,1,1,3162,3003,88,71
3304425,自营 金立 大金钢GN5003 爵士金 移动联通电信4G手机 双卡双待,1499,金立（Gionee）,8.2,170,5.3,32,500,1300,0,1,1,6164,5763,247,154
3330037,自营 金立 F100S 雪金白 移动联通电信4G手机 双卡双待,798,金立（Gionee）,8.15,148,5,16,200,500,0,1,1,2811,2614,118,79
3330077,自营 金立 F100S 韵银白 移动联通电信4G手机 双卡双待,798,金立（Gionee）,8.15,148,5,16,200,500,0,1,1,2811,2614,118,79
1296490,自营 酷派 5200S 炫动黑 电信3G手机 双卡双待,199,酷派（Coolpad）,,,4,4,,30,0,2,0,9848,9210,367,271
2179047,自营 酷派 锋尚MAX A8-930 尊爵金 移动联通电信4G手机 双卡双待,1099,酷派（Coolpad）,7.6,169,5.5,32,500,1300,1,1,1,2541,2436,62,43
2212291,自营 酷派 锋尚Air Y71-811 金钻白 移动4G手机 双卡双待,399,酷派（Coolpad）,8.1,126,5,16,200,,0,1,0,7189,6511,355,323
2495166,自营 酷派 锋尚mini Y72-921 臻彩金 移动联通电信4G手机 双卡双待,659,酷派（Coolpad）,7.3,385,5,16,500,800,0,1,0,600,552,29,19
2593556,自营 酷派 8712 灵动白 移动4G手机 双卡双待,299,酷派（Coolpad）,9.9,154,5,4,30,,0,1,0,1169,1090,46,33
2712626,自营 酷派 8722V 金色 移动4G手机 双卡双待,378,酷派（Coolpad）,7.9,125,5,8,200,,0,1,0,1731,1580,87,64
2917215,自营 酷派5270 灵动白 移动联通电信4G手机 双卡双待,369,酷派（Coolpad）,9.6,170,5,8,30,,0,1,1,3472,3237,145,90
3397564,自营 酷派 cool1 dual 桀骜银 3+32GB版 移动联通电信4G手机 双卡双待,1099,酷派（Coolpad）,8.2,167,5.5,32,800,1300,1,1,1,20995,19703,793,499
3454217,自营 酷派 锋尚V3（Y803-9）金色 移动联通电信4G手机（联通版） 双卡双待,849,酷派（Coolpad）,7.8,144,5.5,32,800,800,2,1,1,2315,2161,78,76
3626134,自营 酷派 B770S 锐志金 移动联通电信4G手机 双卡双待,659,酷派（Coolpad）,8.6,158,5.5,16,200,800,0,1,1,98,89,5,4
3626146,自营 酷派 5367 灵动白 移动联通电信4G手机 双卡双待,428,酷派（Coolpad）,8.7,123.9,5,8,200,800,,1,1,345,322,15,8
2712431,自营 乐视（Le）乐Max2（X820) 金色 移动联通电信4G 双卡双待,1599,乐视（Letv）,7.99,185,5.7,32,800,2100,1,1,1,27789,25722,1093,974
2839509,自营 乐视（Le）乐2Pro 32GB 金色 移动联通电信4G手机 双卡双待,1399,乐视（Letv）,7.5,153,5.5,32,800,2100,1,1,1,62731,58423,2347,1961
2938299,自营 乐视（Le）乐2（X620）32GB 原力金 移动联通电信4G手机 双卡双待,1099,乐视（Letv）,7.5,153,5.5,32,800,1600,1,1,1,346939,326643,10930,9366
3922720,自营 乐视（Letv）乐Max（X900）64G 银色 移动联通4G手机 双卡双待,1199,乐视（Letv）,8.95,204,6.3,64,400,2100,1,1,0,38114,35023,1478,1613
883893,自营 联想(Lenovo) MA388 老人手机 星夜黑 移动联通2G手机 双卡双待,279,联想（Lenovo）, ,150, , ,,30, , ,0,57660,54665,2051,944
1073311,自营 联想(Lenovo) A360e 融雪白 电信3G手机,109,联想（Lenovo）, ,125, , ,,30, , ,0,37276,33642,1901,1733
1137831,自营 联想(Lenovo) A360e 深邃黑 电信3G手机,109,联想（Lenovo）, ,125, , ,,30, , ,0,37271,33637,1901,1733
