证券代码,证券简称,GICS行业名称,证监会行业名称,省份,专利数量,研发人员占比(%),研发费用总额(元),研发费用总额-占资产比(%),研发费用总额-占营业收入比(%),研发费用总额-占营业总成本比(%),研发项目个数,营业收入增长率(%),营业总收入增长率(%),营业利润增长率(%),净资产收益率ROE(摊薄)(%),净资产收益率ROE(加权)(%),净资产收益率ROE(扣除)(%),总资产报酬率(ROA)(%),资产总计(元),资产负债率(%),Z指数,Q_2021,Q_2022,log_Q_2021,log_Q_2022,log_Asset,score
603533,掌阅科技,互联网软件与服务,互联网和相关服务,北京,195,30.94,170138812.1,4.9275,8.22,8.8857,0,0.0049,0.0049,-0.405,5.9374,7.5772,5.9374,5.0038,3452833459,26.0372,1.065350259,3.983063,2.474627,1.382051121,0.906089678,21.96246102,0.00023354
603558,健盛集团,纺织品、服装与奢侈品,纺织业,浙江,0,3.95,58813310.13,1.4879,2.87,3.1734,0,0.2965,0.2965,1.4012,7.2245,7.1163,7.2245,5.8044,3952806264,41.4398,8.395973154,1.380999,1.554668,0.32280715,0.441262018,22.09769161,0.000287674
603565,中谷物流,海运,水上运输业,上海,0,3.93,22145216.82,0.1278,0.18,0.2181,0,0.1797,0.1797,1.3515,24.7774,32.3271,24.7774,19.7894,17321530169,43.8013,8.196861626,1.137992,1.252661,0.129265306,0.225270089,23.57521608,0.000327869
603566,普莱柯,生物科技,医药制造业,河南,14,15.26,85572331.13,3.9466,7.79,9.8742,0,0.1831,0.1831,0.1541,13.5598,13.9106,13.5598,13.0112,2168280814,16.9641,4.28553137,3.24742,4.139487,1.177860835,1.420571867,21.49720044,0.000219298
603567,珍宝岛,生物科技,医药制造业,黑龙江,12,6,146491312.2,1.2732,3.55,3.6659,0,0.2124,0.2108,-0.1066,4.7154,5.2978,4.7154,5.2106,11506076750,38.7177,4.207350902,1.585573,1.495431,0.460945856,0.40241446,23.16614115,0.000362319
603579,荣泰健康,家庭耐用消费品,电气机械和器材制造业,上海,143,17.7,119207415.6,3.6367,4.56,4.962,0,0.293,0.293,0.3237,13.3044,13.7573,13.3044,8.8381,3277932921,45.693,1.575708061,1.881678,1.521564,0.632163932,0.419738753,21.91047885,0.067058824
603583,捷昌驱动,电气设备,电气机械和器材制造业,浙江,152,16.88,185559395.3,2.852,7.04,7.6896,0,0.4115,0.4115,-0.4088,7.2793,7.4197,7.2793,4.6242,6506379767,42.8685,1.593298671,3.049045,2.096856,1.114828427,0.74043908,22.59604904,0.048571429
603587,地素时尚,纺织品、服装与奢侈品,纺织服装、服饰业,上海,0,9.19,64607431.24,1.3771,2.23,3.2149,0,0.13,0.13,0.0927,18.3538,19.1636,18.3538,19.6954,4691541561,19.8954,5.396793587,1.309958,1.790924,0.269995076,0.582731688,22.26902706,0.000444444
603588,高能环境,商业服务与商业用品,生态保护和环境治理业,北京,107,9.67,251104800,1.4487,3.21,3.6052,0,0.1465,0.1465,0.2531,13.2204,14.2072,13.2204,6.9428,17333436932,64.1566,4.66745283,1.58442,1.535586,0.46021841,0.428912067,23.57590324,0.000359712
603589,口子窖,家庭耐用消费品,酒、饮料和精制茶制造业,安徽,6,2.15,73509250.08,0.6664,1.46,2.4631,3,0.2537,0.2537,0.3994,20.9359,22.3023,20.9359,21.4427,11030893473,25.2154,1.566037736,4.156245,3.1375,1.424612022,1.143426304,23.12396567,0.001226832
603596,伯特利,汽车零配件,汽车制造业,安徽,19,25,239256063.2,3.827,6.85,7.9513,0,0.1481,0.1481,0.0176,14.4335,16.3029,14.4335,9.7767,6251770751,44.0872,1.190153846,1.720609,4.556953,0.542678298,1.516654198,22.55613058,0.000241546
603598,引力传媒,商业服务与商业用品,商务服务业,北京,0,3.29,8819476.43,0.5172,0.16,0.1593,0,-0.0178,-0.0178,-3.4346,-83.9113,-59.4081,-83.9113,-10.6279,1705398221,85.5202,5.724230254,2.278605,2.852665,0.823563414,1.048253645,21.25706448,0.007711443
603599,广信股份,化学制品,化学原料和化学制品制造业,安徽,67,15.8,278518554.7,2.7432,5.02,7.0368,9,0.6312,0.6312,1.5439,21.2582,23.4798,21.2582,16.3647,10153035663,31.4578,7.512962963,2.072052,1.635617,0.728539421,0.492020103,23.04103858,0.000310559
603600,永艺股份,家庭耐用消费品,家具制造业,浙江,144,6.47,159534080.3,4.9536,3.42,3.536,0,0.3567,0.3567,-0.2619,12.5357,12.784,12.5357,6.7318,3220540330,54.7468,1.684348396,1.662869,1.431827,0.508544424,0.358951251,21.89281499,0.003703704
603601,再升科技,化学制品,非金属矿物制品业,重庆,9,15.71,97794704.62,3.336,6.04,7.0461,4,-0.1404,-0.1404,-0.4262,12.5815,13.1159,12.5815,9.5491,2931474298,30.7229,5.845295056,3.28829,2.552132,1.190367673,0.936929088,21.79877131,0.000326797
603605,珀莱雅,个人用品,化学原料和化学制品制造业,浙江,20,5.59,76583650.83,1.653,1.65,1.9675,0,0.2347,0.2347,0.2095,20.0252,21.8703,20.0252,14.6245,4633049783,37.6903,1.479539642,9.461512,8.198713,2.247232201,2.103977191,22.25648119,0.001540247
603606,东方电缆,机械制造,电气机械和器材制造业,浙江,23,19.01,266477218.9,3.1784,3.36,4.0745,0,0.57,0.57,0.3309,24.3532,29.6903,24.3532,16.5909,8383954178,41.7251,4.076030928,2.831236,4.466656,1.040713365,1.49664003,22.8495855,0.000368472
603610,麒盛科技,家庭耐用消费品,家具制造业,浙江,262,19.28,141473632.2,3.1372,4.77,5.4545,0,0.3128,0.3128,0.2996,11.1475,11.5889,11.1475,9.3341,4509541602,28.7906,1.35324826,1.409928,1.240482,0.343538639,0.215500014,22.22946134,0.00030146
603612,索通发展,化学制品,非金属矿物制品业,山东,33,10.93,138259797.9,1.1388,1.46,1.6408,0,0.6165,0.6165,1.5423,13.7382,15.1665,13.7382,9.1186,12141273143,55.804,2.259228876,1.265325,1.224842,0.235329006,0.202811856,23.21987649,0.007323531
603613,国联股份,信息技术服务,互联网和相关服务,北京,7,30.62,112127256.6,1.1767,0.3,0.3085,0,1.1698,1.1698,1.0272,13.3674,14.2695,13.3674,10.0553,9528820346,51.7021,1.058678196,3.407253,3.10097,1.225906395,1.131714966,22.97758676,0.000328348
603617,君禾股份,机械制造,通用设备制造业,浙江,4,10.2,30266107.81,1.4347,3.1,3.417,0,0.3215,0.3215,0.0033,7.255,9.2667,7.255,6.1963,2109520531,39.6477,5.402666667,1.976196,1.857431,0.681173785,0.61919435,21.46972652,0.03007874
603619,中曼石油,能源设备与服务,开采辅助活动,上海,9,7.53,60549461.46,1.0281,3.45,3.7433,0,0.1067,0.1067,1.2706,3.3542,3.4123,3.3542,3.6096,5874056823,66.4557,2.443755536,1.371183,1.64137,0.315673871,0.495531259,22.49381134,0.000364964
603626,科森科技,金属与采矿,金属制品业,江苏,24,16.56,234642003.2,3.8902,5.66,5.7957,5,0.1961,0.1961,5.852,12.3256,14.5136,12.3256,7.1285,6031689322,50.3622,2.441634241,1.347928,1.310327,0.298568599,0.270276724,22.52029296,0.047076023
603638,艾迪精密,机械制造,专用设备制造业,山东,59,13.67,133872377.2,2.9864,4.99,6.1736,0,0.1899,0.1899,-0.0936,16.653,17.8324,16.653,12.5459,4482700302,37.0719,1.333142202,8.441342,4.508206,2.133141301,1.505899292,22.22349145,0.000413223
603650,彤程新材,化学制品,化学原料和化学制品制造业,上海,86,24,154845815.1,2.5886,6.71,7.0629,0,0.1283,0.1283,-0.2882,11.7343,12.4884,11.7343,6.8645,5981787236,52.4657,2.945074627,1.652267,3.933426,0.502148284,1.369510802,22.51198523,0.00028224
603657,春光科技,汽车零配件,橡胶和塑料制品业,浙江,8,12.88,45777765.65,2.6545,3.54,3.8884,0,0.5159,0.5159,-0.2771,11.0537,11.264,11.0537,7.6418,1724526747,41.277,7.5008,1.337291,1.837139,0.290645926,0.60820947,21.2682185,0.000274725
603658,安图生物,医疗保健设备与用品,医药制造业,河南,60,31.94,485954566,5.2634,12.9,17.1588,0,0.2645,0.2645,0.2566,13.3805,14.1582,13.3805,11.6784,9232694416,19.8153,4.211128049,6.063511,3.145529,1.802289005,1.14598208,22.94601676,0.003386941
603659,璞泰来,半导体产品与设备,电气机械和器材制造业,上海,0,9.76,542739269.8,2.5302,6.03,7.857,0,0.7036,0.7036,1.4652,16.6757,18.0273,16.6757,9.8478,21450262562,50.2604,2.308836396,3.190507,4.569849,1.160179838,1.519480163,23.78900272,0.01481372
